Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Allergan PLC.","AGN","20180206","20","2344286","4.73","58551.24","YES",".42","4"
"AGNC Investment Corp.","AGNC","20180131","4","3461684.75",".62","7665.49","YES","","3"
"Avangrid, Inc.","AGR","20180220","4","443415.31",".61","14992.92","YES","","4"
"Agile Therapeutics, Inc.","AGRX","20180314","5","1171642.25","-.24","112.13","YES","0",""
"Applied Genetic Technologies Corporation","AGTC","20180214","3","117673.15","-.09","75.99","YES","","4"
"Armada Hoffler Properties, Inc.","AHH","20180206","7","355959.34",".24","645.74","YES","","3"
"Ashford Hospitality Prime, Inc.","AHP","20180208","3","307155.81",".3","309","YES","","3"
"Ashford Hospitality Trust Inc","AHT","20180301","4","506520.19",".21","651.71","YES","","4"
"American International Group, Inc.","AIG","20180208","6","4369540.5",".9","54809.53","YES","1.11","3"
"Aimmune Therapeutics, Inc.","AIMT","20180321","5","364163.19","-.7","2005.57","YES","2.86","4"
"Apollo Investment Corporation","AINV","20180207","6","1311882.25",".16","1266.97","YES","","3"
"AAR Corp.","AIR","20180320","3","303248.94",".37","1449.24","YES","0","3"
"Airgain, Inc.","AIRG","20180215","4","65080.6",".05","88.79","YES","","4"
"Applied Industrial Technologies, Inc.","AIT","20180125","3","226139.09",".71","2724.81","YES","","2"
"Apartment Investment and Management Company","AIV","20180201","7","876381.38",".63","6378.27","YES","1.59","4"
"Arthur J. Gallagher & Co.","AJG","20180125","9","994415.88",".75","11549.44","YES","-2.67","2"
"Aerojet Rocketdyne Holdings, Inc.","AJRD","20180307","3","594109.31",".3","2388.93","YES","","1"
"Great Ajax Corp.","AJX","20180307","3","38492.95",".42","251.7","NO","","3"
"Akamai Technologies, Inc.","AKAM","20180206","14","3131964.75",".63","11082.84","YES","","3"
"Achaogen, Inc.","AKAO","20180313","7","1201218.5","-.79","506.18","YES","","3"
"Akcea Therapeutics, Inc.","AKCA","20180205","3","333518.69","-.2","1131.21","YES","","3"
"Acadia Realty Trust","AKR","20180221","4","566697.06",".33","2125.3","YES","0","5"
"AK Steel Holding Corporation","AKS","20180130","8","14633160","-.14","1949.09","YES","7.14","2"
"Air Lease Corporation","AL","20180222","5","674203.38",".87","5175.42","YES","-1.15","2"
"Albemarle Corporation","ALB","20180226","10","932355.5","1.21","14753.43","YES","","3"
"Biodel Inc.","ALBO","","4","29105.25","-.78","262.18","NO","","3"
"Alder BioPharmaceuticals, Inc.","ALDR","20180222","4","1475225.75","-1.08","1209.53","YES","","4"
"Allete, Inc.","ALE","20180221","3","263588.06",".8","3725.92","YES","","4"
"Align Technology, Inc.","ALGN","20180130","9","939876.38",".96","20720.4","YES","","3"
"Allegiant Travel Company","ALGT","20180131","4","124897.5","1.76","2660.91","YES","-6.82","3"
"Alaska Air Group, Inc.","ALK","20180125","9","1471720.38",".85","9046.71","YES","-1.18","3"
"Alkermes PLC","ALKS","20180221","4","777736.38",".18","9028.19","YES","","2"
"Allstate Corporation (The)","ALL","20180207","9","1661025","1.54","36639.72","YES",".65","1"
"Allegion PLC","ALLE","20180208","3","744616.38",".94","8082.46","YES","","3"
"Ally Financial Inc.","ALLY","20180130","8","3235365.5",".59","13499.94","YES","1.69","2"
"Alnylam Pharmaceuticals, Inc.","ALNY","20180214","8","728636.88","-1.42","12691.58","YES","-9.29","3"
"Alarm.com Holdings, Inc.","ALRM","20180321","8","797647.88",".22","1717.31","YES","","3"
"Aileron Therapeutics, Inc.","ALRN","20180208","3","37208.75","-.46","142.63","NO","","3"
"Allison Transmission Holdings, Inc.","ALSN","20180205","8","1103196.25",".59","6292.77","YES","","2"
"Altair Engineering Inc.","ALTR","20180301","3","249162.7",".06","1627.88","YES","","3"
"Autoliv, Inc.","ALV","20180130","6","355962.94","1.75","11850.82","YES","","3"
"Alexion Pharmaceuticals, Inc.","ALXN","20180215","13","1724017","1.28","27414.64","YES","","3"
"Antero Midstream Partners LP","AM","20180227","6","592229.13",".38","5925.44","YES","","5"
"AMAG Pharmaceuticals, Inc.","AMAG","20180213","4","730921.06",".09","509.39","YES","","3"
"Applied Materials, Inc.","AMAT","20180221","10","9243514",".91","56461.43","YES","","1"
"Ambarella, Inc.","AMBA","20180227","8","981554.88",".66","1829.22","YES","","3"
"AMC Entertainment Holdings, Inc.","AMC","20180227","4","2262776.25",".31","1864.19","YES","0","3"
"AMC Networks Inc.","AMCX","20180222","7","677523.13","1.51","3297.3","YES","","3"
"Advanced Micro Devices, Inc.","AMD","20180130","10","46705976",".05","11596.88","YES","","3"
"AMTEK, Inc.","AME","20180206","9","1033665.13",".67","17380","YES","0","2"
"Amedisys Inc","AMED","20180227","7","320679.69",".59","1858.39","YES","","2"
"Affiliated Managers Group, Inc.","AMG","20180129","5","244250.8","4.53","11272.03","YES","0","2"
"Amgen Inc.","AMGN","20180201","10","2205543.25","3.04","134322.56","YES","1.32","3"
"ANTERO MIDSTR","AMGP","20180207","4","1486464.13",".08","3917.27","YES","12.5","2"
"American Homes 4 Rent","AMH","20180222","5","1597132.38",".26","5866.66","YES","0","3"
"AMN Healthcare Services Inc","AMN","20180215","4","345159.5",".63","2379.05","YES","","3"
"AMERIPRISE FINANCIAL SERVICES, INC.","AMP","20180124","3","734705.5","3.14","26929.18","YES","-1.59","2"
"Amphastar Pharmaceuticals, Inc.","AMPH","20180312","4","196090.5","-.04","853.31","YES","","3"
"Amarin Corporation PLC","AMRN","20180227","3","1636314.13","-.04","1151.24","YES","-25","4"
"American Superconductor Corporation","AMSC","20180205","4","245766.3","-.35","115.51","YES","","3"
"AMERISAFE, Inc.","AMSF","20180228","3","96529.4",".83","1166.19","YES","","2"
"American Tower Corporation (REIT)","AMT","20180226","8","1923969.63","1.68","57037.85","YES","2.45","2"
"TD Ameritrade Holding Corporation","AMTD","20180122","7","2329682.5",".5","30913.49","YES","0","1"
"Amazon.com, Inc.","AMZN","20180201","15","2545789","1.94","628939.31","YES","-9.28","3"
"AutoNation, Inc.","AN","20180202","15","762404.13",".92","5288.5","YES","2.17","1"
"AnaptysBio, Inc.","ANAB","20180206","5","369378.44","-.43","2641.18","YES","0","3"
"Tesoro Corporation","ANDV","20180205","8","1207565.5","1.37","18583.92","YES","-2.19","3"
"Tesoro Logistics LP","ANDX","20180205","8","587783.81",".79","11726.45","YES","-8.86","3"
"Arista Networks, Inc.","ANET","20180215","12","631743.69","1.45","18935.35","YES","-.8","2"
"Abercrombie & Fitch Company","ANF","20180301","9","2011987",".22","1300.75","YES","3.57","3"
"AngioDynamics, Inc.","ANGO","20180329","3","253090.45",".17","600.78","YES","5.26","2"
"ANSYS, Inc.","ANSS","20180228","7","389147.25","1.03","13087.11","YES","","3"
"Anthera Pharmaceuticals, Inc.","ANTH","20180226","3","298192.56","-.77","18.7","YES","-12.99","2"
"Anthem, Inc.","ANTM","20180131","9","1166905.63","1.25","61576.19","YES","","2"
"Aegean Marine Petroleum Network Inc.","ANW","20180307","3","293124.34",".03","188.98","YES","133.33","5"
"American Outdoor Brands Corporation","AOBC","20180301","5","1358002",".07","659.65","YES","","4"
"Aon PLC","AON","20180209","9","1025669.69","2.35","34123.57","YES","","3"
"Smith (A.O.) Corporation","AOS","20180130","8","565911.63",".56","11230.34","YES","","4"
"Alpha and Omega Semiconductor Limited","AOSL","20180214","3","61270.7",".25","419.94","YES","","3"
"Apache Corporation","APA","20180222","10","3370212",".16","17965.27","YES","37.5","3"
"Artisan Partners Asset Management Inc.","APAM","20180205","3","307472.81",".68","3007.61","YES","0","1"
"Anadarko Petroleum Corporation","APC","20180206","12","4831148","-.05","32271.38","YES","0","3"
"Air Products and Chemicals, Inc.","APD","20180126","7","784109.25","1.66","37231.71","YES",".6","2"
"American Public Education, Inc.","APEI","20180227","3","54844.7",".33","418.09","YES","","2"
"Apollo Endosurgery, Inc.","APEN","20180314","3","85122.55","-.34","109.1","NO","-5.88","3"
"Amphenol Corporation","APH","20180124","7","967352.69",".81","28039.28","YES","2.47","2"
"Apple Hospitality REIT, Inc.","APLE","20180222","3","1070571.13",".36","4360.84","YES","","3"
"Archrock Partners, L.P.","APLP","20180222","3","294986.81",".09","1031.95","YES","0","4"
"Apollo Global Management, LLC","APO","20180201","7","643331.13",".62","7004.21","YES","4.84","2"
"AppFolio, Inc.","APPF","20180226","3","103280.1",".09","1444.4","NO","","3"
"Appian Corporation","APPN","20180222","5","1052543","-.16","2216.7","NO","","3"
"Digital Turbine, Inc.","APPS","20180208","3","299567.44","-.02","143.37","YES","","3"
"Blue Apron Holdings, Inc.","APRN","20180201","8","1393059.5","-.27","102.45","YES","","4"
"Apptio Inc.","APTI","20180208","5","371578.16","-.09","986.27","YES","","3"
"Preferred Apartment Communities, Inc.","APTS","20180226","3","471568.91",".35","641.38","YES","0","3"
"Delphi Automotive PLC","APTV","20180201","6","1493246","1.3","24699.2","YES","1.54","5"
"AmeriGas Partners, L.P.","APU","20180207","3","153446.45","1.34","4385.06","YES","-8.96","4"
"Aquantia Corp.","AQ","20180226","3","157510.59","-.02","366.37","NO","","3"
"Algonquin Power & Utilities Corp.","AQN","20180301","3","120294.95",".13","4094.84","NO","","2"
"Antero Resources Corporation","AR","20180227","11","2440304.5",".16","6271.63","YES","-100","3"
"American Renal Associates Holdings, Inc","ARA","20180306","3","117000.45",".15","584.55","YES","0","3"
"ArcBest Corporation","ARCB","20180131","7","263689.94",".36","948.57","YES","-8.33","3"
"Ares Capital Corporation","ARCC","20180213","9","1968541.75",".37","6833.57","YES","","3"
"Arch Coal Inc.","ARCH","20180130","5","237230.05","2.71","2123.97","YES","-5.17","3"
"Alexandria Real Estate Equities, Inc.","ARE","20180129","4","799753.75","1.54","12659.39","YES",".65","3"
"Ares Management L.P.","ARES","20180223","5","134227.25",".43","1886.74","YES","11.63","2"
"Approach Resources Inc.","AREX","20180308","4","800945.88","-.07","338.27","YES","-16.67","2"
"American Railcar Industries, Inc.","ARII","20180223","4","66591.9",".48","779.39","YES","0","3"
"Alliance Resource Partners, L.P.","ARLP","20180129","4","309426.25",".59","2718.64","YES","15.25","3"
"Aramark","ARMK","20180206","12","1014513",".56","10822.97","YES","0","3"
"Arena Pharmaceuticals, Inc.","ARNA","20180313","3","581333","-.64","1372.24","YES","","4"
"Arconic Inc.","ARNC","20180205","4","3064579.5",".24","14844.03","YES","-4.17","3"
"ARRIS International PLC","ARRS","20180228","3","1696928",".77","4767.17","YES","-1.43","3"
"Array BioPharma Inc.","ARRY","20180208","8","3457520.75","-.23","2701.24","YES","","4"
"Arrow Electronics, Inc.","ARW","20180206","5","391915.81","2.29","7360.7","YES","","3"
"Arrowhead Pharmaceuticals, Inc.","ARWR","20180205","3","1810481.63","-.18","428.02","YES","0",""
"Associated Banc-Corp","ASB","20180125","10","857769.13",".38","4013.43","YES","2.63","1"
"Ardmore Shipping Corporation","ASC","20180206","8","200988.3","-.11","273.64","YES","0","3"
"On Assignment, Inc.","ASGN","20180213","5","213438.7",".76","3463.68","YES","0","2"
"Ashland Global Holdings Inc.","ASH","20180125","4","417823.81",".47","4612.12","YES","","5"
"Assembly Biosciences, Inc.","ASMB","20180301","3","107213.3","-.79","909.92","YES","0","3"
"Ascena Retail Group, Inc.","ASNA","20180305","3","2434580.75",".11","409.72","YES","0","4"
"Ascendis Pharma A/S","ASND","20180328","5","143782.3","-.89","1693.93","NO","","4"
"Astec Industries, Inc.","ASTE","20180220","6","182890.05",".45","1483.17","YES","","2"
"Asure Software Inc","ASUR","20180319","5","124486.9",".2","185.38","YES","-5.26","2"
"ASV Holdings, Inc.","ASV","20180201","3","15162.7",".07","93.3","NO","","3"
"A10 Networks, Inc.","ATEN","20180208","5","302659.31",".03","536.29","YES","","3"
"DeVry Education Group Inc.","ATGE","20180206","3","572186.13",".76","2808.79","YES","","3"
"Athene Holding Ltd.","ATH","20180321","4","1076551.13","1.23","10205.6","YES","4.88","3"
"athenahealth, Inc.","ATHN","20180201","17","297462.91",".64","5181.13","YES","","3"
"Allegheny Technologies Incorporated","ATI","20180123","5","1690715.38",".14","3124.37","YES","14.29","4"
"AptarGroup, Inc.","ATR","20180208","6","219611.59",".71","5392.17","YES","","3"
"AtriCure, Inc.","ATRC","20180227","4","172182.09","-.21","611.22","YES","","3"
"Antares Pharma, Inc.","ATRS","20180313","5","980005.81","-.03","357.22","YES","",""
"Air Transport Services Group, Inc","ATSG","20180305","4","410077.5",".26","1453.79","YES","","2"
"Attunity Ltd.","ATTU","20180201","3","45626.75",".06","134.92","YES","-100","3"
"Actuant Corporation","ATU","20180328","6","615327.38",".18","1527.2","YES","0","3"
"Altice USA, Inc.","ATUS","20180201","3","2569857.5","-.01","17151.57","YES","-1200","4"
"Activision Blizzard, Inc","ATVI","20180208","13","4481948",".91","53199.2","YES","-4.55","3"
"Aurinia Pharmaceuticals Inc","AUPH","20180308","4","1000288.38","-.14","449.26","YES","","4"
"Yamana Gold Inc.","AUY","20180223","4","11463120",".03","3262.84","YES","33.33","3"
"AeroVironment, Inc.","AVAV","20180306","4","372927.41","-.07","1290.65","YES","22.22","3"
"AvalonBay Communities, Inc.","AVB","20180131","6","540638.38","2.24","23230.54","YES",".44","3"
"American Vanguard Corporation","AVD","20180305","3","107242.9",".21","643.57","YES","28.57","3"
"AVEO Pharmaceuticals, Inc.","AVEO","20180328","3","1148508.25","-.03","366.8","YES","","3"
"Broadcom Limited","AVGO","20180307","12","2220081.5","4.52","108190.29","YES","","1"
"Avon Products, Inc.","AVP","20180215","5","3005813.25",".06","972.4","YES","","4"
"Avnet, Inc.","AVT","20180125","5","739197.63",".72","5048.7","YES","","3"
"AveXis, Inc.","AVXS","20180315","5","383820.56","-1.51","3757.18","YES","","3"
"Avery Dennison Corporation","AVY","20180207","4","480438.59","1.25","10507.1","YES","","3"
"American Water Works","AWK","20180220","6","872661.69",".65","14418.05","YES","0","4"
"Abraxas Petroleum Corporation","AXAS","20180313","3","1460669.75",".06","441.27","YES","-16.67","3"
"Anixter International Inc.","AXE","20180130","3","171315.41","1.33","2611.85","YES","","3"
"AxoGen, Inc.","AXGN","20180228","3","306610.19","-.09","954.63","YES","","3"
"American Axle & Manufacturing Holdings, Inc.","AXL","20180209","7","1665551.63",".75","2090.03","YES","","3"
"Axovant Sciences Ltd.","AXON","20180213","6","2233353","-.48","225.11","YES","-12.5","3"
"American Express Company","AXP","20180118","11","2574150.5","1.54","87641.55","YES","-1.95","1"
"Axis Capital Holdings Limited","AXS","20180207","4","700081.19","1.1","4083.94","YES","0","5"
"Axalta Coating Systems Ltd.","AXTA","20180214","8","1478039.88",".32","7903.36","YES","-6.25","4"
"AXT Inc","AXTI","20180228","5","288814.16",".08","348.07","YES","","3"
"Acuity Brands Inc","AYI","20180403","8","854293.31","2.1","6692.16","YES","0","3"
"Aircastle Limited","AYR","20180213","3","216692.91",".61","1937","YES","","3"
"Alteryx, Inc.","AYX","20180208","6","578621.5","-.03","1595.68","YES","","3"
"Astrazeneca PLC","AZN","20180202","4","2561584.25",".42","90281.55","YES","-19.05","3"
"AutoZone, Inc.","AZO","20180227","12","402373.19","9.8","21552.25","YES","","3"
"Aspen Technology, Inc.","AZPN","20180124","6","312252.16",".5","5448.83","YES","","1"
"AZUL SA","AZUL","","3","255636.55",".42","7948.39","YES","0","3"
"Barnes Group, Inc.","B","20180216","3","201616.34",".68","3634.29","YES","","2"
"Boeing Company (The)","BA","20180131","9","3213837.25","2.89","200239.28","YES",".35","3"
"Alibaba Group Holding Limited","BABA","20180201","8","16140011","1.67","480959.09","YES","","3"
"Bank of America Corporation","BAC","20180117","9","55802776",".44","325330.75","YES","-2.27","2"
"Booz Allen Hamilton Holding Corporation","BAH","20180205","8","626577.5",".43","5728.95","YES","4.65","1"
"Banc of California, Inc.","BANC","20180129","7","546646.38",".23","1084","YES","-4.35","1"
"Bandwidth Inc.","BAND","20180314","3","80044.85","0","405.44","NO","-50","3"
"BancFirst Corporation","BANF","20180118","3","40852.7",".68","1744.88","NO","","2"
"Banner Corporation","BANR","20180124","3","125036.15",".81","1916.85","YES","-8.64","2"
"Basic Energy Services, Inc.","BAS","20180322","3","337642.5","-.28","648.36","YES","","3"
"Baxter International Inc.","BAX","20180201","9","2480520",".58","37233.82","YES","","3"
"BlackBerry Limited","BB","20180330","5","9558692","-.01","7320.59","YES","","3"
"Bed Bath & Beyond Inc.","BBBY","20180404","11","5682477",".36","3249.86","YES","0","3"
"Banco Bradesco SA","BBD","20180207","3","5641571",".22","73629.39","YES","","3"
"Bill Barrett Corporation","BBG","20180301","5","2849619.5","-.03","401.3","YES","100","2"
"BB&T Corporation","BBT","20180118","11","3038913.5",".79","41923.26","YES","1.25","2"
"Build-A-Bear Workshop, Inc.","BBW","20180215","3","168292.7",".34","131.32","YES","8.82","3"
"Best Buy Co., Inc.","BBY","20180307","11","2923682",".78","21412.95","YES","5.5","3"
"Brunswick Corporation","BC","20180201","12","719117.31",".75","5053.57","YES","","4"
"BCE, Inc.","BCE","20180208","4","691947.63",".59","41825.3","YES","1.69","3"
