"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"CVCY","Central Valley...","273","--","0.21","--","60.00%","--",""
"MAT","Mattel, Inc.","5,256","--","0.21","--","23.81%","--",""
"FTI","Fmc Technologie...","16,237","--","0.45","--","11.11%","--",""
"CUBI","Customers Banco...","924","amc","0.49","--","10.42%","--",""
"TCBI","Texas Capital B...","4,893","amc","1.16","--","4.31%","--",""
"ETH","Ethan Allen Int...","787","--","0.52","--","3.92%","--",""
"SEIC","Sei Investments...","12,070","--","0.61","--","3.28%","--",""
"LVS","Las Vegas Sands...","56,140","--","0.77","--","2.60%","--",""
"APH","Amphenol Corpor...","28,039","bmo","0.81","--","2.47%","--",""
"VAR","Varian Medical...","9,940","amc","0.98","--","1.02%","--",""
"BOKF","Bok Financial C...","6,267","bmo","1.32","--","0.76%","--",""
"DFS","Discover Financ...","29,256","amc","1.53","--","0.65%","--",""
"NSC","Norfolk Souther...","44,164","bmo","1.56","--","-0.64%","--",""
"WHR","Whirlpool Corpo...","12,414","amc","4.01","--","-1.50%","--",""
"AMP","Ameriprise Fina...","26,929","amc","3.14","--","-1.59%","--",""
"FSB","Franklin Financ...","481","amc","0.63","--","-4.76%","--",""
"FFIV","F5 Networks, In...","8,876","amc","2.04","--","-5.13%","--",""
"RES","Rpc, Inc.","5,315","bmo","0.33","--","-6.06%","--",""
"TSC","Tristate Capita...","689","amc","0.33","--","-6.06%","--",""
"BANR","Banner Corporat...","1,917","amc","0.81","--","-8.64%","--",""
"ABT","Abbott Laborato...","102,417","bmo","0.73","--","NA","--",""
"AUDC","Audiocodes Ltd....","235","bmo","0.11","--","NA","--",""
"AZPN","Aspen Technolog...","5,449","amc","0.50","--","NA","--",""
"BGG","Briggs & Stratt...","1,094","amc","0.23","--","NA","--",""
"BHBK","Blue Hills Banc...","565","--","0.16","--","NA","--",""
"BHGE","Baker Hughes In...","15,928","bmo","0.14","--","NA","--",""
"BXS","Bancorpsouth, I...","3,121","amc","0.41","--","NA","--",""
"CADE","Cadence Bancorp...","2,356","amc","0.37","--","NA","--",""
"CCI","Crown Castle In...","42,078","amc","1.06","--","NA","--",""
"CFR","Cullen/frost Ba...","6,373","--","1.39","--","NA","--",""
"CMCSA","Comcast Corpora...","198,355","bmo","0.47","--","NA","--",""
"CNS","Cohen & Steers...","2,105","amc","0.55","--","NA","--",""
"CPF","Cpb Inc.","935","--","0.42","--","NA","--",""
"CVBF","Cvb Financial C...","2,677","amc","0.27","--","NA","--",""
"CVLT","Commvault Syste...","2,489","bmo","0.31","--","NA","--",""
"CVTI","Covenant Transp...","512","--","0.59","--","NA","--",""
"DLB","Dolby Laborator...","6,685","--","0.45","--","NA","--",""
"EAT","Brinker Interna...","1,758","--","0.70","--","NA","--",""
"EGHT","8x8 Inc","1,402","--","0.01","--","NA","--",""
"F","Ford Motor Comp...","52,554","bmo","0.44","--","NA","--",""
"FBMS","The First Bancs...","377","--","0.48","--","NA","--",""
"FBNK","First Connectic...","432","amc","0.35","--","NA","--",""
"FMNB","Farmers Nationa...","435","--","0.23","--","NA","--",""
"GBNK","Guaranty Bancor...","847","--","0.39","--","NA","--",""
"GDI","Gardner Denver...","6,774","--","0.48","--","NA","--",""
"GE","General Electri...","162,688","bmo","0.29","--","NA","--",""
"GWW","W.w. Grainger,...","13,429","bmo","2.18","--","NA","--",""
"HBNC","Horizon Bancorp...","722","--","0.44","--","NA","--",""
"HXL","Hexcel Corporat...","5,803","amc","0.70","--","NA","--",""
"ITW","Illinois Tool W...","58,420","bmo","1.62","--","NA","--",""
"LKFN","Lakeland Financ...","1,287","--","0.61","--","NA","--",""
"LM","Legg Mason, Inc...","4,021","amc","0.84","--","NA","--",""
"LOB","Live Oak Bancsh...","987","amc","0.26","--","NA","--",""
"LRCX","Lam Research Co...","30,528","amc","3.67","--","NA","--",""
"MDP","Meredith Corpor...","3,002","--","0.91","--","NA","--",""
"MPX","Marine Products...","471","bmo","0.12","--","NA","--",""
"MSFG","Mainsource Fina...","997","--","0.56","--","NA","--",""
"NAP","Navios Maritime...","210","--","0.22","--","NA","--",""
"NFBK","Northfield Banc...","838","--","0.17","--","NA","--",""
"NG","Novagold Resour...","1,274","amc","-0.04","--","NA","--",""
"NTRS","Northern Trust...","24,393","bmo","1.30","--","NA","--",""
"NVR","Nvr, Inc.","13,307","--","48.95","--","NA","--",""
"NVS","Novartis Ag","204,979","bmo","1.16","--","NA","--",""
"OIIM","O2micro Interna...","41","--","-0.06","--","NA","--",""
"PB","Prosperity Banc...","5,210","bmo","1.00","--","NA","--",""
"PGR","Progressive Cor...","32,535","bmo","0.77","--","NA","--",""
"PUB","People's Utah B...","573","--","0.39","--","NA","--",""
"QSII","Quality Systems...","881","--","0.15","--","NA","--",""
"QTM","Quantum Corpora...","213","--","0.16","--","NA","--",""
"RJF","Raymond James F...","14,077","--","1.43","--","NA","--",""
"RLI","Rli Corp.","2,627","amc","0.48","--","NA","--",""
"ROK","Rockwell Automa...","26,695","bmo","1.73","--","NA","--",""
"ROL","Rollins, Inc.","10,380","bmo","0.20","--","NA","--",""
"SCSG","Southcrest Fina...","68","--","-0.36","--","NA","--",""
"SLG","Sl Green Realty...","9,381","amc","1.59","--","NA","--",""
"SMED","Sharps Complian...","64","--","0.02","--","NA","--",""
"SWK","Stanley Black &...","26,594","bmo","2.14","--","NA","--",""
"TEL","Te Connectivity...","35,224","bmo","1.25","--","NA","--",""
"TER","Teradyne, Inc.","8,749","amc","0.34","--","NA","--",""
"TRCB","Two River Banco...","154","--","0.26","--","NA","--",""
"URI","United Rentals,...","15,299","amc","3.28","--","NA","--",""
"USAP","Universal Stain...","165","--","0.12","--","NA","--",""
"UTX","United Technolo...","109,069","bmo","1.56","--","NA","--",""
"UVSP","Univest Corpora...","828","--","0.43","--","NA","--",""
"VIVO","Meridian Biosci...","647","--","0.14","--","NA","--",""
"VRTS","Virtus Investme...","941","--","2.39","--","NA","--",""
"WIT","Wipro Limited","27,615","--","0.06","--","NA","--",""
"XLNX","Xilinx, Inc.","18,736","amc","0.63","--","NA","--",""﻿"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"CAFD","8point3 Energy...","1,208","--","0.08","--","25.00%","--",""
"FCAU","Fiat Chrysler A...","35,957","--","0.67","--","17.91%","--",""
"ABAX","Abaxis, Inc.","1,417","--","0.27","--","14.81%","--",""
"HP","Helmerich & Pay...","7,631","bmo","-0.14","--","14.29%","--",""
"CAT","Caterpillar, In...","101,317","bmo","1.74","--","9.25%","--",""
"RTN","Raytheon Compan...","57,083","bmo","2.02","--","4.95%","--",""
"HTBK","Heritage Commer...","636","--","0.24","--","4.35%","--",""
"EBMT","Eagle Bancorp M...","107","--","0.32","--","3.13%","--",""
"JBLU","Jetblue Airways...","7,352","bmo","0.34","--","2.94%","--",""
"ASB","Associated Banc...","4,013","amc","0.38","--","2.63%","--",""
"WAL","Western Allianc...","6,247","amc","0.82","--","2.44%","--",""
"AAL","American Airlin...","27,978","bmo","0.83","--","2.41%","--",""
"WYNN","Wynn Resorts, L...","17,015","--","1.34","--","2.24%","--",""
"FBK","Fb Financial Co...","1,364","--","0.54","--","1.85%","--",""
"CELG","Celgene Corpora...","83,456","bmo","1.92","--","1.71%","--",""
"WDC","Western Digital...","24,586","amc","3.77","--","1.16%","--",""
"MMM","3m Company","145,608","bmo","2.02","--","0.50%","--",""
"UNP","Union Pacific C...","111,125","bmo","1.54","--","-0.65%","--",""
"SIVB","Svb Financial G...","13,353","amc","2.56","--","-0.78%","--",""
"IBKC","Iberiabank Corp...","4,442","amc","1.26","--","-0.79%","--",""
"EWBC","East West Banco...","9,731","bmo","0.92","--","-1.09%","--",""
"ALK","Alaska Air Grou...","9,047","bmo","0.85","--","-1.18%","--",""
"AEP","American Electr...","33,183","bmo","0.79","--","-1.27%","--",""
"BIIB","Biogen Inc.","71,046","bmo","5.46","--","-1.47%","--",""
"MBFI","Mb Financial In...","3,940","--","0.63","--","-1.59%","--",""
"SBUX","Starbucks Corpo...","85,937","amc","0.57","--","-1.75%","--",""
"HTH","Hilltop Holding...","2,535","amc","0.42","--","-2.38%","--",""
"ADS","Alliance Data S...","15,269","bmo","5.01","--","-2.53%","--",""
"LLL","L-3 Communicati...","16,368","--","2.31","--","-2.60%","--",""
"AJG","Arthur J. Galla...","11,549","--","0.75","--","-2.67%","--",""
"GWB","Great Western B...","2,531","bmo","0.63","--","-3.17%","--",""
"RDN","Radian Group In...","4,770","--","0.44","--","-4.55%","--",""
"SHW","Sherwin-william...","40,477","bmo","3.18","--","-4.72%","--",""
"CLF","Cliffs Natural...","2,574","bmo","0.17","--","-5.88%","--",""
"TMST","Timken Steel Co...","823","amc","-0.34","--","-5.88%","--",""
"BDN","Brandywine Real...","3,018","amc","0.33","--","-12.12%","--",""
"OSK","Oshkosh Corpora...","6,887","bmo","0.53","--","-16.98%","--",""
"CMRE","Costamare Inc.","680","--","0.16","--","-18.75%","--",""
"EURN","Euronav Nv","1,425","--","-0.10","--","-30.00%","--",""
"RHI","Robert Half Int...","7,065","--","0.63","--","-46.03%","--",""
"ABTX","Allegiance Banc...","519","bmo","0.53","--","NA","--",""
"AIT","Applied Industr...","2,725","bmo","0.71","--","NA","--",""
"AMRB","American River...","102","--","0.20","--","NA","--",""
"ARD","Ardagh Group S....","379","--","0.22","--","NA","--",""
"ASH","Ashland Global...","4,612","--","0.47","--","NA","--",""
"ATEYY","Advantest Corp....","3,439","--","0.10","--","NA","--",""
"AVT","Avnet, Inc.","5,049","bmo","0.72","--","NA","--",""
"AVX","Avx Corporation...","3,169","bmo","0.18","--","NA","--",""
"BHLB","Berkshire Hills...","1,734","amc","0.57","--","NA","--",""
"BIVV","Bioverativ Inc","6,898","--","0.75","--","NA","--",""
"BUSE","First Busey Cor...","1,565","--","0.46","--","NA","--",""
"BY","Byline Bancorp,...","676","--","0.24","--","NA","--",""
"CCMP","Cabot Microelec...","2,489","bmo","1.02","--","NA","--",""
"CE","Celanese Corpor...","15,102","amc","1.84","--","NA","--",""
"CHFN","Charter Financi...","277","--","0.24","--","NA","--",""
"CLFD","Clearfield, Inc...","171","amc","0.06","--","NA","--",""
"CLS","Celestica, Inc....","1,388","--","0.30","--","NA","--",""
"CNOB","Connectone Banc...","912","--","0.40","--","NA","--",""
"COBZ","Cobiz Financial...","904","amc","0.27","--","NA","--",""
"COLB","Columbia Bankin...","3,360","amc","0.56","--","NA","--",""
"CRR","Carbo Ceramics,...","330","--","-0.63","--","NA","--",""
"DCOM","Dime Community...","820","amc","0.49","--","NA","--",""
"DGII","Digi Internatio...","275","amc","-0.04","--","NA","--",""
"DST","Dst Systems, In...","4,950","--","0.84","--","NA","--",""
"DWCH","Datawatch Corpo...","142","amc","-0.02","--","NA","--",""
"ETFC","E*trade Financi...","14,456","amc","0.61","--","NA","--",""
"FBIZ","First Business...","203","--","0.39","--","NA","--",""
"FBNC","First Bancorp","1,096","--","0.53","--","NA","--",""
"FBP","First Bancorp.","1,167","--","0.06","--","NA","--",""
"FCX","Freeport-mcmora...","28,590","bmo","0.44","--","NA","--",""
"FFIN","First Financial...","3,169","--","0.44","--","NA","--",""
"FFNW","First Financial...","182","--","0.23","--","NA","--",""
"FHB","First Hawaiian,...","4,496","amc","0.41","--","NA","--",""
"FII","Federated Inves...","3,546","amc","0.59","--","NA","--",""
"FLEX","Flextronics Int...","10,115","amc","0.30","--","NA","--",""
"FMBH","First Mid-illin...","501","--","0.59","--","NA","--",""
"FRME","First Merchants...","2,172","--","0.61","--","NA","--",""
"FSBW","Fs Bancorp, Inc...","207","--","0.92","--","NA","--",""
"GBCI","Glacier Bancorp...","3,110","amc","0.46","--","NA","--",""
"GHL","Greenhill & Co....","494","--","-0.93","--","NA","--",""
"GNBC","Green Bancorp,...","872","amc","0.34","--","NA","--",""
"HESM","Hess Midstream...","582","--","0.28","--","NA","--",""
"HFWA","Heritage Financ...","952","bmo","0.36","--","NA","--",""
"HTBI","Hometrust Bancs...","493","--","0.29","--","NA","--",""
"HTLD","Heartland Expre...","1,924","--","0.10","--","NA","--",""
"IBA","Industrias Bach...","2,984","--","0.62","--","NA","--",""
"IBCP","Independent Ban...","510","--","0.32","--","NA","--",""
"INTC","Intel Corporati...","202,363","amc","0.86","--","NA","--",""
"ISBC","Investors Banco...","4,396","amc","0.15","--","NA","--",""
