"Crane Company","CR","20180129","6","268004.16","1.17","5476.82","YES","","3","CR","Crane Company","5,477","amc","1.17","--","NA","--","",
"CVB Financial Corporation","CVBF","20180124","5","357784.25",".27","2676.81","YES","","2","CVBF","Cvb Financial C...","2,677","amc","0.27","--","NA","--","",
"Dominion Energy Inc.","D","20180129","6","3621001.25",".89","48948.72","YES","","3","D","Dominion Energy...","48,949","bmo","0.90","--","NA","--","",
"Discover Financial Services","DFS","20180124","10","2036300.38","1.53","29255.81","YES",".65","2","DFS","Discover Financ...","29,256","amc","1.53","--","0.65%","--","",
"Dolby Laboratories","DLB","20180124","5","230771.55",".45","6684.52","YES","","3","DLB","Dolby Laborator...","6,685","--","0.45","--","NA","--","",
"Enterprise Financial Services Corporation","EFSC","20180122","3","136373.2",".76","1089.82","YES","","1","EFSC","Enterprise Fina...","1,090","amc","0.76","--","NA","--","",
"8x8 Inc","EGHT","20180124","8","557553.75",".01","1402.28","YES","","4","EGHT","8x8 Inc","1,402","--","0.01","--","NA","--","",
"Enterprise Products Partners L.P.","EPD","20180129","9","5429016",".35","62412.16","YES","2.86","3","EPD","Enterprise Prod...","62,412","--","0.35","--","2.86%","--","",
"E*TRADE Financial Corporation","ETFC","20180125","7","1923660.38",".61","14455.6","YES","0","1","ETFC","E*trade Financi...","14,456","amc","0.61","--","NA","--","",
"Ethan Allen Interiors Inc.","ETH","20180124","4","218079.8",".51","787.04","YES","3.92","3","ETH","Ethan Allen Int...","787","--","0.52","--","3.92%","--","",
"Euronav NV","EURN","20180125","6","751084.63","-.1","1424.92","YES","-30","3","EURN","Euronav Nv","1,425","--","-0.10","--","-30.00%","--","",
"Ford Motor Company","F","20180124","7","24859012",".44","52553.55","YES","","2","F","Ford Motor Comp...","52,554","bmo","0.44","--","NA","--","",
"First Bancorp","FBNC","20180125","3","130343.5",".53","1095.94","YES","","2","FBNC","First Bancorp","1,096","--","0.53","--","NA","--","",
"First Commonwealth Financial Corporation","FCF","20180123","3","458397.56",".15","1470.66","YES","","2","FCF","First Commonwea...","1,471","amc","0.15","--","NA","--","",
"Fifth Third Bancorp","FITB","20180123","11","5199168",".47","22825.54","YES","0","3","FITB","Fifth Third Ban...","22,826","bmo","0.47","--","NA","--","",
"Flextronics International Ltd.","FLEX","20180125","5","2536212.5",".3","10114.95","YES","","3","FLEX","Flextronics Int...","10,115","amc","0.30","--","NA","--","",
"F.N.B. Corporation","FNB","20180123","7","2350091.75",".24","4684.76","YES","","2","FNB","F.n.b. Corporat...","4,685","bmo","0.24","--","NA","--","",
"First Merchants Corporation","FRME","20180125","3","236629.45",".61","2172.12","YES","","1","FRME","First Merchants...","2,172","--","0.61","--","NA","--","",
"Fulton Financial Corporation","FULT","20180122","3","852792.31",".28","3292.29","YES","","2","FULT","Fulton Financia...","3,292","amc","0.28","--","NA","--","",
"Guaranty Bancorp","GBNK","20180124","3","67478.15",".39","846.53","NO","","2","GBNK","Guaranty Bancor...","847","--","0.39","--","NA","--","",
"General Dynamics Corporation","GD","20180126","9","1091684","2.38","62878.59","YES","","3","GD","General Dynamic...","62,879","--","2.38","--","NA","--","",
"General Electric Company","GE","20180124","6","65098164",".29","162688.31","YES","","5","GE","General Electri...","162,688","bmo","0.29","--","NA","--","",
"Graco Inc.","GGG","20180129","8","671995.5",".35","7900.86","YES","0","3","GGG","Graco Inc.","7,901","amc","0.35","--","NA","--","",
"GasLog Partners LP","GLOP","20180126","5","115111.05",".53","1009.33","YES","","3","GLOP","Gaslog Partners...","1,009","--","0.53","--","NA","--","",
"Gentex Corporation","GNTX","20180126","8","1880600.63",".32","6529.77","YES","","2","GNTX","Gentex Corporat...","6,530","bmo","0.32","--","NA","--","",
"Hanmi Financial Corporation","HAFC","20180123","4","157016.25",".47","1035.47","YES","","2","HAFC","Hanmi Financial...","1,035","amc","0.48","--","NA","--","",
"Halliburton Company","HAL","20180122","13","7182468",".46","46366.83","YES","2.17","3","HAL","Halliburton Com...","46,367","bmo","0.46","--","2.17%","--","",
"Huntington Bancshares Incorporated","HBAN","20180123","11","8779683",".26","17133","YES","0","2","HBAN","Huntington Banc...","17,133","bmo","0.26","--","NA","--","",
"Horizon Bancorp (IN)","HBNC","20180124","3","100618.75",".44","721.65","YES","","2","HBNC","Horizon Bancorp...","722","--","0.44","--","NA","--","",
"Hess Midstream Partners LP","HESM","20180125","4","107891.6",".28","582.43","YES","","2","HESM","Hess Midstream...","582","--","0.28","--","NA","--","",
"Heritage Financial Corporation","HFWA","20180125","4","117362.15",".36","951.74","YES","","1","HFWA","Heritage Financ...","952","bmo","0.36","--","NA","--","",
"Honeywell International Inc.","HON","20180126","9","2820488.5","1.84","120385.77","YES","0","3","HON","Honeywell Inter...","120,386","bmo","1.84","--","NA","--","",
"Hill-Rom Holdings Inc","HRC","20180126","6","359445.69",".8","5712.6","YES","0","3","HRC","Hill-rom Holdin...","5,713","bmo","0.80","--","NA","--","",
